Свердловина 3 (ml),,,,,,,,,,,,,,,,,,,,,,
Рік,"Видобуток нафти, т",,"Видобуток води, т",,"Видобуток рідини, т",,"Видобуток газу, тис.м3",,"Відпрацьвані 
св-дні",,"Дебіт, т/д",,"Обвод-неність, 
%","Газовий фактор, 
м3/т","Видобуток вільного газу, млн м3",,"Видобуток конденсату, 
тис. т",,Дебіт,,,
,річний, накопи-чений ,річний,накопи-чений,річний,накопи-чений, річний ,накопи-чений,за рік,з початку розробки,нафти,рідини,,, річний ,накопи-чений,річний,накопи-чений,"вільного газу, 
тис. м3/д","конден-сату, т/д",,
1980,"357,000","357,000","0,000","0,000","357,000","357,000","45,500","45,500","190,1","190,1","1,9","1,9","0,0",127,,"0,000",,"0,000","0,0","0,0",1,
1981,"701,000","1058,000","0,000","0,000","701,000","1058,000","89,000","134,500","334,2","524,3","2,1","2,1","0,0",127,,"0,000",,"0,000","0,0","0,0",1,
1982,"923,000","1981,000","0,000","0,000","923,000","1981,000","116,000","250,500","354,7","879,0","2,6","2,6","0,0",126,,"0,000",,"0,000","0,0","0,0",1,
1983,"886,000","2867,000","0,000","0,000","886,000","2867,000","159,000","409,500","362,9","1241,9","2,4","2,4","0,0",179,,"0,000",,"0,000","0,0","0,0",1,
1984,"700,000","3567,000","0,000","0,000","700,000","3567,000","129,000","538,500","349,8","1591,7","2,0","2,0","0,0",184,,"0,000",,"0,000","0,0","0,0",1,
1985,"732,000","4299,000","0,000","0,000","732,000","4299,000","36,000","574,500","364,0","1955,7","2,0","2,0","0,0",49,,"0,000",,"0,000","0,0","0,0",1,
1986,"736,000","5035,000","0,000","0,000","736,000","5035,000","55,000","629,500","364,5","2320,2","2,0","2,0","0,0",75,,"0,000",,"0,000","0,0","0,0",1,
1987,"536,000","5571,000","0,000","0,000","536,000","5571,000","48,000","677,500","333,9","2654,1","1,6","1,6","0,0",90,,"0,000",,"0,000","0,0","0,0",1,
1988,"571,000","6142,000","0,000","0,000","571,000","6142,000","53,000","730,500","364,7","3018,8","1,6","1,6","0,0",93,,"0,000",,"0,000","0,0","0,0",1,
1989,"615,000","6757,000","0,000","0,000","615,000","6757,000","93,000","823,500","362,0","3380,8","1,7","1,7","0,0",151,,"0,000",,"0,000","0,0","0,0",1,
1990,"641,000","7398,000","0,000","0,000","641,000","7398,000","94,800","918,300","361,7","3742,5","1,8","1,8","0,0",148,,"0,000",,"0,000","0,0","0,0",1,
1991,"617,000","8015,000","0,000","0,000","617,000","8015,000","75,900","994,200","365,0","4107,5","1,7","1,7","0,0",123,,"0,000",,"0,000","0,0","0,0",1,
1992,"628,000","8643,000","0,000","0,000","628,000","8643,000","96,300","1090,500","366,0","4473,5","1,7","1,7","0,0",153,,"0,000",,"0,000","0,0","0,0",1,
1993,"583,000","9226,000","2,000","2,000","585,000","9228,000","40,300","1130,800","365,0","4838,5","1,6","1,6","0,3",69,,"0,000",,"0,000","0,0","0,0",1,
1994,"531,000","9757,000","0,000","2,000","531,000","9759,000","47,300","1178,100","363,2","5201,7","1,5","1,5","0,0",89,,"0,000",,"0,000","0,0","0,0",1,
1995,"584,000","10341,000","0,000","2,000","584,000","10343,000","61,500","1239,600","365,0","5566,7","1,6","1,6","0,0",105,,"0,000",,"0,000","0,0","0,0",1,
1996,"647,000","10988,000","0,000","2,000","647,000","10990,000","56,400","1296,000","358,0","5924,7","1,8","1,8","0,0",87,,"0,000",,"0,000","0,0","0,0",1,
1997,"641,000","11629,000","0,000","2,000","641,000","11631,000","76,300","1372,300","365,0","6289,7","1,8","1,8","0,0",119,,"0,000",,"0,000","0,0","0,0",1,
1998,"545,000","12174,000","1,000","3,000","546,000","12177,000","151,500","1523,800","365,0","6654,7","1,5","1,5","0,2",278,,"0,000",,"0,000","0,0","0,0",1,
1999,"353,000","12527,000","0,000","3,000","353,000","12530,000","97,800","1621,600","327,8","6982,5","1,1","1,1","0,0",277,,"0,000",,"0,000","0,0","0,0",1,
2000,"499,000","13026,000","0,000","3,000","499,000","13029,000","200,500","1822,100","366,0","7348,5","1,4","1,4","0,0",402,,"0,000",,"0,000","0,0","0,0",1,
2001,"487,000","13513,000","0,000","3,000","487,000","13516,000","226,700","2048,800","359,0","7707,5","1,4","1,4","0,0",466,,"0,000",,"0,000","0,0","0,0",1,
2002,"519,000","14032,000","3,000","6,000","522,000","14038,000","234,800","2283,600","365,0","8072,5","1,4","1,4","0,6",452,,"0,000",,"0,000","0,0","0,0",1,
2003,"397,000","14429,000","8,000","14,000","405,000","14443,000","136,900","2420,500","316,0","8388,5","1,3","1,3","2,0",345,,"0,000",,"0,000","0,0","0,0",1,
2004,"142,000","14571,000","8,000","22,000","150,000","14593,000","51,100","2471,600","238,5","8627,0","0,6","0,6","5,3",360,,"0,000",,"0,000","0,0","0,0",1,
2005,"161,000","14732,000","8,000","30,000","169,000","14762,000","59,800","2531,400","361,0","8988,0","0,4","0,5","4,7",371,,"0,000",,"0,000","0,0","0,0",1,
2006,"116,000","14848,000","7,000","37,000","123,000","14885,000","29,700","2561,100","365,0","9353,0","0,3","0,3","5,7",256,,"0,000",,"0,000","0,0","0,0",1,
2007,"78,013","14926,013","7,922","44,922","85,935","14970,935","16,760","2577,860","363,0","9716,0","0,2","0,2","9,2",215,,"0,000",,"0,000","0,0","0,0",1,
